DAY,MONTH,YEAR,PRCP,TAVG,TMAX,TMIN
2,4,2019,0.3,27.9,,
3,4,2019,30.5,26.8,,22.7
4,4,2019,0.5,29,,23.4
5,4,2019,0,28.8,,
6,4,2019,0,28.8,,
7,4,2019,0,29.1,,25.3
8,4,2019,0,29.1,,26
9,4,2019,0,29.4,,26.8
10,4,2019,0,28.2,,
11,4,2019,6.1,27.3,,
12,4,2019,31.2,28.6,,23.6
13,4,2019,0,29.8,,26.2
14,4,2019,0,28.5,,
15,4,2019,0,29.4,,26.2
16,4,2019,0.3,30.2,,27.1
17,4,2019,0,30.1,,
18,4,2019,0,30.2,,27.3
19,4,2019,0,28.9,,
20,4,2019,0,27.6,,
21,4,2019,21.1,29.9,,25
22,4,2019,0,28.9,,
23,4,2019,0,29,,26.6
24,4,2019,0,29,,26.9
25,4,2019,0,29.1,,27.4
26,4,2019,0,26,,
27,4,2019,56.9,27.6,,
28,4,2019,2.3,29.9,,25
29,4,2019,0,29.1,,
30,4,2019,0,28.3,,26.2
1,5,2019,0,29.8,,26.6
2,5,2019,0,28.9,,26.8
3,5,2019,3.8,29.7,,25.6
4,5,2019,0,29.1,,
5,5,2019,0.3,29.2,,26.9
6,5,2019,3.3,30.9,,26.1
7,5,2019,0,29.9,,
8,5,2019,4.8,27.4,,
9,5,2019,10.7,29.9,,22.9
10,5,2019,5.6,29.8,,24.3
11,5,2019,0,28.7,,
12,5,2019,10.9,29.8,,24.7
13,5,2019,0,29.1,,
14,5,2019,0,29.7,,26.7
15,5,2019,0.3,29.7,,26.7
16,5,2019,0.8,28.9,,
17,5,2019,17.3,28.6,,22.8
18,5,2019,0,29.2,,26.2
19,5,2019,0,28.1,,
20,5,2019,0.3,29.3,,25.8
21,5,2019,0,28.4,,
22,5,2019,6.1,28.8,,26.1
23,5,2019,0,29.8,,
24,5,2019,0,30.2,,
25,5,2019,0,29.4,,27.8
26,5,2019,0,30,,27.4
27,5,2019,0,30.1,,27.7
28,5,2019,0,30.2,,
29,5,2019,0,29.5,,
30,5,2019,4.3,28.6,,25.2
31,5,2019,0.5,29,,26.6
1,6,2019,0.5,28.4,,
2,6,2019,0,28.6,,
3,6,2019,13.7,26.8,,
4,6,2019,37.6,29,,24.2
5,6,2019,0,29.6,,25.5
6,6,2019,0,26.3,,
7,6,2019,14.5,26.3,,24.4
8,6,2019,0,27.7,,25
9,6,2019,0.5,29.2,,26.3
10,6,2019,0.3,30.3,,27.7
11,6,2019,0,28.9,,
12,6,2019,18.3,27.9,,23.6
13,6,2019,0,28.7,,25.7
14,6,2019,3.3,29.1,,26.8
15,6,2019,4.3,29,,26.8
16,6,2019,0,29.6,,27.3
17,6,2019,0,28.7,,
18,6,2019,7.1,27.2,,25
19,6,2019,2.5,28.1,,25.3
20,6,2019,1.5,28.2,,
21,6,2019,4.3,27.9,,
22,6,2019,27.9,26.8,,
23,6,2019,18.5,29.3,,23.3
24,6,2019,0,29,,
25,6,2019,0.5,29.7,,25.7
26,6,2019,0,28.3,,
27,6,2019,0,29.6,,26.7
28,6,2019,0,29.6,,27.8
29,6,2019,0,28.2,,
30,6,2019,18.3,28.8,,23.9
1,7,2019,0,29.4,,27.7
2,7,2019,0,29.7,,27.9
3,7,2019,0,28.6,,
4,7,2019,0.3,29.3,,26.9
5,7,2019,0,29.6,,27.8
6,7,2019,0,29.4,,
7,7,2019,0.3,28.9,,26.8
8,7,2019,0,27.9,,
9,7,2019,1.5,28.3,,24.8
10,7,2019,0.3,29.4,,25
11,7,2019,0,29.7,,27.5
12,7,2019,0,29.4,,
13,7,2019,0,29.5,,27.1
14,7,2019,0,29.6,,28
15,7,2019,0,27,,
16,7,2019,2,28.9,,23.9
17,7,2019,0.5,29.3,,26.9
18,7,2019,0,29.3,,
19,7,2019,0,29.3,,27.3
20,7,2019,0,29.2,,
21,7,2019,0,28.9,,27
22,7,2019,0,28.6,,
23,7,2019,0.3,27.5,,
24,7,2019,6.4,28.9,,24.2
25,7,2019,0,28.9,,
26,7,2019,0,29.3,,26.3
27,7,2019,0,29.4,,26.9
28,7,2019,0,29.1,,27.4
29,7,2019,0.8,29.8,,26.9
30,7,2019,0,29.4,,27.3
31,7,2019,0,29.4,,
1,8,2019,0,29.6,,26.7
2,8,2019,0,29.7,,27.5
3,8,2019,0,29.6,,27.7
4,8,2019,0,29.6,,27.6
5,8,2019,0,29.4,,27.6
6,8,2019,0,28.9,,
7,8,2019,1.5,28.8,,
8,8,2019,2.3,29.1,,27.3
9,8,2019,0,29.3,,27.4
10,8,2019,0,29.4,,27.7
11,8,2019,0,29.8,,27.7
12,8,2019,0,29.8,,
13,8,2019,0,29.5,,27.5
14,8,2019,0,29.4,,27.4
15,8,2019,0,29.6,,27.2
16,8,2019,0,29.8,,27.7
17,8,2019,0,29.5,,27.8
18,8,2019,0,29.7,,
19,8,2019,0,29.6,,
20,8,2019,0,29.6,,27.4
21,8,2019,0,29.6,,
22,8,2019,0,29.6,,27.3
23,8,2019,0,29.5,,
24,8,2019,0,29.6,,27.1
25,8,2019,0,28.2,,
26,8,2019,5.3,27.9,,
27,8,2019,0.5,27.2,,24.5
28,8,2019,1.3,27.1,,25.3
29,8,2019,0.5,29.2,,26
30,8,2019,0,28.9,,
31,8,2019,0,29.1,,26.7
1,9,2019,0,29.6,,26.7
2,9,2019,0,29.9,,27.3
3,9,2019,0,29.5,,27.6
4,9,2019,0,29.2,,
5,9,2019,0,29.3,,24.7
6,9,2019,0,29.4,,27
7,9,2019,0,29.4,,
8,9,2019,0,29.4,,
9,9,2019,0,29.6,,
10,9,2019,0,29.3,,
11,9,2019,0,29.4,,27
12,9,2019,0,29.5,,27
13,9,2019,0,29.3,,
14,9,2019,0,28.8,,
15,9,2019,0,28.8,,
16,9,2019,0,29,,26.8
17,9,2019,0,29.4,,27
18,9,2019,0,29.2,,
19,9,2019,0,29.3,,
20,9,2019,0,28.9,,
21,9,2019,0,28.9,,26.4
22,9,2019,0,29.6,,26.7
23,9,2019,0,27.8,,
24,9,2019,3.8,29.3,,25.3
25,9,2019,1.3,26.4,,
26,9,2019,16.5,28.9,,22.9
27,9,2019,0,29,,
28,9,2019,0,29.4,,26
29,9,2019,0,28.5,,
30,9,2019,1.5,27.4,,
1,10,2019,0,28.3,,25.4
2,10,2019,1.5,25.9,,
3,10,2019,4.1,28.2,,22.9
4,10,2019,0,28.1,,25.2
5,10,2019,0.8,28.4,,
6,10,2019,0.5,28.1,,24.9
7,10,2019,7.9,26.7,,
8,10,2019,11.9,28.1,,23.6
9,10,2019,0,28,,25.6
10,10,2019,0,28.7,,
11,10,2019,0,29.3,,25.3
12,10,2019,0,28.8,,
13,10,2019,0.3,29.5,,25.9
14,10,2019,0,29,,
15,10,2019,0,29.3,,26
16,10,2019,0,29.2,,26.5
17,10,2019,1.5,28.6,,
18,10,2019,0.3,28.6,,26.1
19,10,2019,0,29.3,,
20,10,2019,0,28.6,,
21,10,2019,6.1,29.1,,
22,10,2019,0.8,25.9,,
23,10,2019,28.7,27.8,,23.9
24,10,2019,0,28.4,,25.6
25,10,2019,0,29.4,,26.5
26,10,2019,,26.8,,
27,10,2019,,27,,
28,10,2019,,26.3,,23.1
29,10,2019,0,29.1,,24.3
30,10,2019,0,28.6,,
31,10,2019,0,28.2,,
1,11,2019,14.5,28.4,,22.9
2,11,2019,0.3,29.4,,25.8
3,11,2019,0,28.1,,
4,11,2019,0,28.8,,25.8
5,11,2019,3.8,28.2,,
6,11,2019,0,29.4,,26.3
7,11,2019,0.3,29.9,,
8,11,2019,0,28.1,,
9,11,2019,1.5,27.9,,24
10,11,2019,0,29.4,,25
11,11,2019,0,29.2,,25.9
12,11,2019,0,28.6,,
13,11,2019,0,29.1,,
14,11,2019,0,27.6,,25.9
15,11,2019,1.3,27.1,,24.7
16,11,2019,0,28.5,,24.7
17,11,2019,0,29.2,,25.5
18,11,2019,0,28.3,,25.9
19,11,2019,0.3,28,,
20,11,2019,0,25.9,,
21,11,2019,4.1,26.5,,24.7
22,11,2019,0.8,26.6,,
23,11,2019,0.5,27,,24.6
24,11,2019,0.5,26.7,,
25,11,2019,16.5,28,,24.2
26,11,2019,0,28.3,,25.7
27,11,2019,0,27.5,,
28,11,2019,1.8,28,,25.4
29,11,2019,8.9,26.3,,
30,11,2019,73.4,27.9,,24
1,12,2019,9.4,28.4,,
2,12,2019,0,26.8,,
3,12,2019,59.7,28,,23.9
4,12,2019,0,28.1,,26
5,12,2019,0,27.4,,
6,12,2019,0,28.3,,25.3
7,12,2019,0.3,27.9,,
8,12,2019,0,25.7,,
9,12,2019,33.3,24.8,,23.1
10,12,2019,44.5,25,,23.6
11,12,2019,24.9,24.2,,23
12,12,2019,34,27.4,,22.7
13,12,2019,0,24.6,,
14,12,2019,90.7,24.7,,23
15,12,2019,74.4,24.2,,23
16,12,2019,5.6,26.3,,23.2
17,12,2019,0.3,25.5,,24.1
18,12,2019,13.2,26.1,,
19,12,2019,34.8,27.1,,24
20,12,2019,0,27.4,,24.9
21,12,2019,0,26.9,,
22,12,2019,3.8,26.8,,24.8
23,12,2019,0,27.7,,
24,12,2019,2.8,27.4,,
25,12,2019,0,27.6,,
26,12,2019,0,27.2,,24.7
27,12,2019,0,27.9,,25.1
28,12,2019,0,27.7,,25.5
29,12,2019,0,28.1,,25.7
30,12,2019,0,27.8,,
31,12,2019,0,28,,25.3
1,1,2020,0,28,,
2,1,2020,0,27.9,,25.4
3,1,2020,0,28,,26
4,1,2020,0,27.5,,
5,1,2020,0,27.7,,
6,1,2020,0,26.1,,
7,1,2020,15.2,26.3,,23.8
8,1,2020,0.5,27.8,,24.8
9,1,2020,0,27.8,,
10,1,2020,0,26.9,,
11,1,2020,2.3,27.6,,24.1
12,1,2020,0,27.7,,
13,1,2020,0,27.7,,24.6
14,1,2020,0,27.6,,25.1
15,1,2020,0,28.1,,25.7
16,1,2020,0,27.8,,
17,1,2020,0,28.2,,25.3
18,1,2020,0,28.6,,25.4
19,1,2020,0,28.7,,26.2
20,1,2020,0,28,,
21,1,2020,10.9,26.7,,24.3
22,1,2020,3.3,28.2,,25
23,1,2020,0,28.3,,25.8
24,1,2020,0,27.8,,
25,1,2020,0,28.2,,
26,1,2020,0,28.7,,25.1
27,1,2020,0,27.6,,
28,1,2020,38.1,28.9,,25.4
29,1,2020,0,26.2,,
30,1,2020,18,27.9,,23.8
31,1,2020,0,28.3,,25.4
1,2,2020,0,28.7,,26.2
2,2,2020,0,27.6,,
3,2,2020,0,27.8,,
4,2,2020,0,27.5,,24.6
5,2,2020,0,28.1,,24.5
6,2,2020,0,28.2,,25.2
7,2,2020,0,27.7,,
8,2,2020,0,27.9,,24.7
9,2,2020,0,25.6,,
10,2,2020,14.5,27.7,,23.7
11,2,2020,0,26.9,,24.7
12,2,2020,23.9,28.1,,24.6
13,2,2020,0,28.4,,
14,2,2020,0,28.3,,
15,2,2020,0,28.6,,25.1
16,2,2020,0,28.1,,
17,2,2020,0,28.6,,
18,2,2020,0.3,26.9,,
19,2,2020,1.5,28.3,,24.3
20,2,2020,0.5,27.6,,
21,2,2020,11.7,27.6,,24.1
22,2,2020,7.9,28.4,,25.5
23,2,2020,0,28.1,,
24,2,2020,0,27.2,,24.7
25,2,2020,4.6,28.3,,25.2
26,2,2020,0,28.6,,25.7
27,2,2020,0,28.6,,25.7
28,2,2020,0,28.2,,
1,3,2020,0,28.2,,
29,2,2020,0,28,,
2,3,2020,0,28.4,,24.8
3,3,2020,0,28.6,,25.8
4,3,2020,0,29.1,,26.2
5,3,2020,0,28.3,,
6,3,2020,0,28.3,,
7,3,2020,0,27.9,,
8,3,2020,27.7,27.8,,24.3
9,3,2020,12.4,28.6,,25.2
10,3,2020,0,29.1,,26
